Hotkey: 5ECvRLMj9jkbdM4sLuH5WvjUe87TcAdjRfUj5onN4iKqYYGm, Prefix: 5ECvRL, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5H6BgKkAr2Anmm9Xw5BVDE4VaQmFEVMkJUHeT7Gki4J7yF4x, Prefix: 5H6BgK, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v, Prefix: 5FFApa, Reward: 2.97939456, APR: 0.58, Percent Taken Out: 18
Hotkey: 5DCc5oHA6c1Lpt9R6T1xU8jJGTMvvwBqD1yGX67sL8dHUcga, Prefix: 5DCc5o, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w, Prefix: 5CXRfP, Reward: 0.7368192, APR: 0.42, Percent Taken Out: 18
Hotkey: 5GcBK8PDrVifV1xAf4Qkkk6KsbsmhDdX9atvk8vyKU8xdU63, Prefix: 5GcBK8, Reward: 1.2674116800000002, APR: 1.49, Percent Taken Out: 18
Hotkey: 5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux, Prefix: 5EhvL1, Reward: 5.265187200000001, APR: 0.47000000000000003, Percent Taken Out: 9
Hotkey: 5FvhvCWLbu2VgotT5obC9E6S9nskerJUrVsWqkWXCbuD8veW, Prefix: 5FvhvC, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5Dyi5e2QqnWn2RN9X6r8A8Q1QBjYD536H75mxNye193oeCJ4, Prefix: 5Dyi5e, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5Ehv5XMriPZwNBtYHdQV7VrdbN8MBTDTmQhWprZJXxSiMapR, Prefix: 5Ehv5X, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5E6oB7h5wtWPbqtPxtSoZeo11fpvDjPuY13SobAMxqEUjqkQ, Prefix: 5E6oB7, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5DnWFhKfeu6gXMydzrv8bkwxFegAC6bMWsC4Z2XtaotAeB6S, Prefix: 5DnWFh, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5GBxDYkDp8eJZHGT89wcZJKcMc4ytSqnqqVSpeuGeqtGfqxK, Prefix: 5GBxDY, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5FcXnzNo3mrqReTEY4ftkg5iXRBi61iyvM4W1bywZLRqfxAY, Prefix: 5FcXnz, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE, Prefix: 5CVS9d, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3, Prefix: 5F4tQy, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5EpxBYq4aVgTQ1rYeBo2mzYt3hgpRTqxZTSsJEkCstBP5Jse, Prefix: 5EpxBY, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A, Prefix: 5Fq5v7, Reward: 0.2444256, APR: 0.18, Percent Taken Out: 18
Hotkey: 5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp, Prefix: 5CsvRJ, Reward: 0.6324364800000001, APR: 0.37, Percent Taken Out: 18
Hotkey: 5FLKnbMjHY8LarHZvk2q2RY9drWFbpxjAcR5x8tjr3GqtU6F, Prefix: 5FLKnb, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5DPEpUTZn94sgYXH3sdXxsVvb46m3iEvg8aZwX7SMDowivzB, Prefix: 5DPEpU, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2, Prefix: 5HEo56, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5FP9miYmgjAP8Wt3747M2Y6Kk7PrXf6zG7a3EjokQiFFcmUu, Prefix: 5FP9mi, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf, Prefix: 5HNQUR, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5Gpt8XWFTXmKrRF1qaxcBQLvnPLpKi6Pt2XC4vVQR7gqNKtU, Prefix: 5Gpt8X, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
