HOTKEY,COLDKEY,EMISSION(ρ),DIVIDENDS
5C4iCpNCng3phrA741f3JYvQn8eaAbNopokZMSSXZVWZri1d,5HU1GeFHb3jhuXQwuitDhTJ3yazr5UaYYAzGWzAgdjXjRb9J,0.003518695,0.0
5C4irjyobgeFekA8kbxnCCmkqjDXAAvKqBYTNhWKAEwY544X,5EHeqw1ULXN3DxhHvN5sn9vu51JwD389cD9Er1sjP5nU9GRj,0.012773002,0.0
5C4jvo4mytGonEUduYkn64jMp5HQnDvVtwNY8UqC3GfYEtVT,5FCDKxH69LubjvVyunxD5DXg7R8bG32FC5WoqA5HhuJWaKmD,0.0,0.0
5C4kf7rRxMhcyKvF1Lv2VBcWX8xGmJR1byo7umTbQ3LCjh5q,5F4aHd2SNXacZFZGywhxf1WUyiUd1vM5dEu2jm2LBkkgtrec,0.00484322,0.0
5C4nYDG2tcCfdt3svXHx8QExALB2fALoSQfmhsbK3MKFmnYQ,5EXRPzdZoUHKDGydKUwwVyqaFf31pjprE7dY949mGDsBUxTk,0.012766138,0.0
5C4ocMvKomsyb5WNeNqzBTPErtJ3AeyX81Y1dAYnDex66wBu,5CkMLDp6EASArRexRKQYfSNmU3crssJxWTFtTS8e2L5QWTvV,0.000742231,0.0
5C4otkhVo1AcDPe2J977DXDv392usaaqxhTj1rveSHjjMr3A,5DaYQHF5ZyRUxj922L3VH1UnBCkg5R3izJ3iwufGd6EcuPtA,0.004061265,0.0
5C4pb3RJtGc4j7Y5fCfoYH9KD673DvDtKsrzQyyiohKTiWB3,5DaVDuD1qLKc5jXiRiNyC6QYioANcpqLwDGJBEww9zHg1zyK,0.045208693,0.0
5C4rF7fc4LkQc1eZenb6pJUeNCKpLnym4NaVk9kkq6PnbsGY,5DhfVdWViSoCd2wiYkU5cSpcs9zH73RsKa3rqSk35gt3Dj6y,0.0,0.0
5C4rohW1a2yHHQNQuHp9QdTqcfotHJEuAXu3uhQPTM6yUDx7,5FhGU4ipSReF6pDfABeHwnBberdmbNvq51Tj52qKfRE698kN,0.004016488,0.0
5C4rtHtAkBFjY94Dm68txENBVDhg1Xev7cjA717MRCtVGJKN,5DJiis3iF3yyLSpwWiwzEv8Dqf7PMMBjFJtp9A3oGbfacbfu,0.010258979,0.0
5C4tDxvjCDDxBQwqoz8w1KGgtxb7YTA11NLcfxMNwx4ndiJs,5HYeXgAgtkX1rtjzT8gW6FK9FerfcFcrcFHTY4agNSFhrYcR,0.0,0.0
5C4taqWoVF9yrF3PUH1jLWybfsvc2wmPqjMeF4hPyY8cMAQT,5GVmLyEdNWdGvovVDsRXLHVpd8QYD36Yy4Z2BLQZEznWEVw5,0.002047975,0.0
5C4uJbjYckNGGnzz9ghKvpejmK6zSBK2Kko8n9XgMYtaXTxC,5EefisctzgWdVGFQaL4LjFFacTE7dM4YJVNy3ogGBQoapTU1,0.00158972,0.0
5C4ujtn1D2Fb9aC6YraAJasv8xD7AgD2G9pWZexumi6eWE2m,5Cod7Vh7CF8hpfqfuYNDZ5CqJ68ieGERSsSHAhMrz78YKCax,0.007094734,0.0
