UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5HbrhJnhxjnHtAp387uUHAwjt6zdkMe7J4AGb8ieLkjciLbo,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.107227184,0.00022888533,0.11512932,0.0002746624,0.00022888533,0.0,0.000367613,0.0
1,5CUpGdrhPvGLK79qDwiDfVZRjgv167caLLen6KvuBSQbchxq,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,1.3220577,0.002044709,0.5274586,0.0016327153,0.002044709,0.0,0.003271072,0.042984664
2,5CA2H88YhkyW5urHRn8RxdDUK6h4eEa9w897CuqbRgsttwfV,5DUnX9Y6VmgBhUqYpu28X2eFcnoMHdtknsDcq2sWM5UTdQcY,20.731606,0.0014953841,0.53217363,0.0013275349,0.0014953841,0.0,0.002402259,0.5300069
3,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,475569.06,0.0,0.0,0.0,0.0,0.100434884,0.16064562,0.7206836
4,5GR4zcUr63QvjofUQwm452GCY48seFvdgZzhW3nFskgAB8dC,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.09765266,0.00093080034,0.48949417,0.0010070954,0.00093080034,0.0,0.00150662,0.0
5,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198859.5,0.0,0.0,0.0,0.0,0.20054932,0.32078207,0.6833753
6,5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,5CMEwRYLefRmtJg7zzRyJtcXrQqmspr9B1r1nKySDReA37Z1,83161.734,0.0,0.0,0.0,0.0,0.018066682,0.028910134,0.691371
7,5CkQNVBjZZ5sKZf7c73iBDHEYcdvc9T1K9qg9ZZj5yMX8Sip,5Ff31A2Yoe6Jn26fpqcV7HwtatQWGmuAKbwByHVhxqi5xipw,0.16999231,0.00421149,0.7641413,0.0033264668,0.00421149,0.0,0.006758102,0.0
8,5GnYKwKfgRaxcoFGjZTJpTV34mo7DncDPkzuMJ38E612bqfy,5CaTtUB4AfP5pKNvmmmuwRJVdMKq1xDQuLKAmxQgQxcp8SXk,1.5005385,0.008316167,0.6930037,0.008880751,0.008316167,0.0,0.013310682,0.0
9,5DUMrTEaDktdYbwcv8EVfajgEh1DcX7CRm1G2e9pd2R1cw1s,5CCnM1J8DTk4BbdbKTjFUJXfi4duM8MkAN5BX1WBiseahN3H,0.1978526,0.0012664988,0.5613489,0.0014496071,0.0012664988,0.0,0.002044382,0.0
10,5GvJ22jvRhGwEFVzcEmPHduVLPCBdS2dVsC7JW347qCtudho,5HRNaBjhYUJvdU76ES8fvLLc4YWnkDohBwMXhVYvUMNNCbBo,0.0,0.02169833,0.79826045,0.018783856,0.02169833,0.0,0.03472498,0.0
11,5CULTMjqfWtXkUrG9RWFkm9Hfp88Zshkztf9EMcdi3MnguVQ,5H8wt94KtQLMY9gZD3cfweboTWL5t4TiLvMcAqkePAb1nPkd,1.187,0.015091172,0.8711681,0.014160372,0.015091172,0.0,0.02415339,0.0
12,5HpykUU2jEfhYiUBDJmffFLQyJGBJiKibV38eMchuggXVCND,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,1.2415489,0.002792401,0.75838864,0.0024109255,0.002792401,0.0,0.004488231,0.0
13,5FhgcrCcPYu2t9wujB16EZe8WfiBvyJ5pXhc8NXBvfWNeb1h,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,0.5325339,0.0030975814,0.8534676,0.0025635157,0.0030975814,0.0,0.004966451,0.0
14,5GpZvVL4W7EhNXfnvxftWFhh4eo5avz3gAMeqHdvaSCvJ4r9,5D2qCnYoawk1GWuXmX6bgkCay7Gpa8x93RWURBFp1Vsr5NwT,0.49343833,0.0026703288,0.73388267,0.002105745,0.0026703288,0.0,0.004286913,0.0
15,5GpBM8XZHBEWAysgLjHwouzhL9mpvjVr23Ap6afkFwzCSAex,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,0.8122301,0.0029297322,0.7280537,0.0024261845,0.0029297322,0.0,0.004688723,0.0
16,5EsvAPW1BhgJVFr1KGNDHVeN6b89mEybVarUf9c3ACCNQTGw,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,0.990267,0.0030365454,0.7485008,0.0026245518,0.0030365454,0.0,0.004873257,0.0
17,5DDPuuEZicY7y1weTPzCdHREjupzmg4WXKmk3GsS9d54C3V5,5E4V1so3KmUkCG6QB3mCpsQYYZYuXkwaKd2Ws45wABn39JYs,0.043648396,0.002731365,0.73672086,0.0033569848,0.002731365,0.0,0.004391357,0.0
18,5EhgikH22ShUDkVdP5DM3fKUEtAZLZupGJYzTNJf3W1sSFBX,5CsvgWsLSspvvtbfHK13my4HFt4XFTusAk329Rz82xJhKVPc,0.018649029,0.001358053,0.66611737,0.0015259022,0.001358053,0.0,0.002180534,0.0
19,5Giro1yo2pEGP1S9mTLBFj8gQYToqGSbaShnGZPUrg8wGkfs,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.13677295,0.0011139086,0.4335546,0.001388571,0.0011139086,0.0,0.001802121,0.0
20,5CK4s3tDg7jLbCJqu9qdtqnBcPcYoYgQa14GAg3QnxLYi8tQ,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,1.1569259,0.0022888533,0.76978713,0.0018768597,0.0022888533,0.0,0.003674892,0.0
21,5G3cneA6CfVtZrkFJMppn6RKLhUxEouLfdqB8gKB6BxXqKQQ,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.071584485,0.00094605936,0.7062486,0.0011139086,0.00094605936,0.0,0.001523766,0.0
22,5FYpxBqFhzvw3QBJwWBMkCKBssvumFfpiF6VBVe8uZK3WRWD,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,1.0318786,0.002822919,0.54930955,0.00280766,0.002822919,0.0,0.004524251,0.0
23,5DjzRmkjRXV1LvBw5ACKRc5U5XX8JA8biX2ZJsFXk62hFWew,5H8wt94KtQLMY9gZD3cfweboTWL5t4TiLvMcAqkePAb1nPkd,1.1307367,0.00982681,0.82278174,0.01092546,0.00982681,0.0,0.01571899,0.0
24,5FeHwxSFPY9oHhVcGUn3fTkULWHAuueoCsV9w8gjr66grMwz,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.11386455,0.0022125582,0.773785,0.002075227,0.0022125582,0.0,0.003556062,0.0
25,5FhhhX5ourPVdS21aXcRuWgAJwubXbQ8j2H3kHP1cLFsjnD5,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.072659776,0.0007629511,0.45807585,0.00086976425,0.0007629511,0.0,0.001234853,0.0
26,5DLQMzeAxQCyuXCb5LWC8wjWgZGDMPk8Z9ZUJ4mDqFdc7ygN,5CJjhRjFcY7orWPMAEAnCBvHoJTQUAueDfwK83HFFQSx1C8j,15.182786,0.0025787747,0.5084306,0.002151522,0.0025787747,0.0,0.004128982,0.0
27,5HiwALtQ1Abox3usyDX7HUzkxe5QQqAgak9omKYjrcbhGpgc,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.15138757,0.0019836728,0.90827805,0.002044709,0.0019836728,0.0,0.003178582,0.0
28,5EZY2mnm3LVqLJsWoPLvHENchDPRDLS9uo54snAFcMDBUHBy,5FcY5yECNugRL5ooycN4LNSftr8n1Rxvz34MXFxATP6sK7G1,4.432161,0.0026703288,0.8246128,0.002868696,0.0026703288,0.0,0.004273606,0.0
29,5HQmjK1rLu6QcTZvkqSxHBT3haHymfqPshhJpFCo7RrSRUP1,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.14944878,0.0023956664,0.7441367,0.0023193713,0.0023956664,0.0,0.003844766,0.0
30,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,5G1KeLg1rda5kBZ9pWVnpAe3y4RwRRphcVxuY5mukLFStJhj,199057.6,0.0,0.0,0.0,0.0,0.043915465,0.070255935,0.6765545
31,5DyDCnCngtLF88sh1YvCax25Rn6AKQaFndwnRqfL4Sr1xHPC,5CaTtUB4AfP5pKNvmmmuwRJVdMKq1xDQuLKAmxQgQxcp8SXk,1.7697111,0.007827878,0.3713588,0.0067444877,0.007827878,0.0,0.01254108,0.0
32,5HBvgesHManEgTbqRzE4X7PTT8nZN81BwSiniCGWQmdRRbUe,5DepDpQaheHmxWCMgzkqXTsSYgNESEDqLd4SFPiVPDnMkFek,0.83782846,0.0032043946,0.9457084,0.0026245518,0.0032043946,0.0,0.005134595,0.0
33,5EboAn9c92EhYrU12Cp31EavaJ4PLroZiJfujwDyzhQqxL1K,5ES4yuwJPhAwcTTeRVmvybffMcirf4BrSehEe8MxJoptdgPi,4.0263443,0.0019226368,0.7200427,0.0017547875,0.0019226368,0.0,0.003076597,0.0
34,5GjfApoSz1vCXUH1nFPQyUBfqTVKiTWaKTV3WtqwsfJ9jmqH,5Fgss2QHmXEeZ8vLbdrySY4j2eVNwxrVnHQQ7D9mfLxTkyo6,0.025432983,0.0011749447,0.7599756,0.0011444266,0.0011749447,0.0,0.001883029,0.0
