NETUID,N,MAX_N,EMISSION,TEMPO,BURN,POW,SUDO
0 , 64 ,64.00 ,0.00%,100 ,τ1.00000 ,4611686.02 T,5C4hrfjw9DjXZTzV3MwzrrAr9P1MJhSrvWGWqi1eSuyUpnhM
1 ,1024 ,1.02 K,8.38%, 99 ,τ1.00000 ,1000000.00 T,5Hpd1smgd8tjQYqZ7tuXBxiC85LYivtKwpYAmoXvpJiJghfu
2 ,256 ,256.00 ,3.71%,360 ,τ3.49407 ,100.00 T,5HeQuPVRSZVE3LWdKx9q6upyCi53TjQ4a2S8mnJ5emyWFf5b
3 ,256 ,256.00 ,4.16%,360 ,τ0.19045 ,1000000.00 T,5FNBJf6xruFpKNxi7SoQQdedXUpC5nneSMJdzP5pZNpq35iA
4 ,256 ,256.00 ,7.79%,360 ,τ3.02279 ,100.00 T,5CXGPMnq9RCCLUEvp9G2iUuabw69TSFM155UVS1S4Zmusaxv
5 ,256 ,256.00 ,2.04%,360 ,τ0.00003 ,1000000.00 T,5HiveMEoWPmQmBAb8v63bKPcFhgTGCmST1TVZNvPHSTKFLCv
6 ,256 ,256.00 ,0.00%,360 ,τ0.00000 ,100.00 T,5HiWr9tvNhVc7wp539Gf4Gbe3PC7c8hB7WnC9q4MYj7bqWmq
7 ,256 ,256.00 ,4.17%,360 ,τ0.00000 ,18446744.07 T,5DoFgSb8hdVCLAKTXCmd4bTSKHd2mG4QKatpK3DvJR91DVoc
8 ,256 ,256.00 ,11.70%,360 ,τ4.97495 ,18446744.07 T,5F6tnxzAAxbhaWRmeUmB63JEM3VXBNSmqb3AwYJVDStQjw8y
9 ,256 ,256.00 ,5.50%,360 ,τ0.10000 ,10.00 M,5CqPn4g7Q6VsdEmbp2i2Z3nvJWQngCfG7K5kCgzGSPgxynDf
10 ,256 ,256.00 ,2.62%,360 ,τ0.78541 ,18446744.07 T,5F9onQyY4zYy4NxU11LHMwCVLe3UDMzEHmYK3eAUAuZzsYoH
11 ,2048 ,2.05 K,0.00%,199 ,τ0.00100 ,1000000.00 T,5Hpd1smgd8tjQYqZ7tuXBxiC85LYivtKwpYAmoXvpJiJghfu
